,Parameters,Parameters,Parameters,2010-2016,2010-2016,2010-2016,2017-2020,2017-2020,2017-2020
,localDEV Weight,Intervention Threshold,Probability(Intervention = Success),GlobalDEV Weight,GlobalDEV Stdev,GlobalDEV Pvalue,GlobalDEV Weight,GlobalDEV Stdev,GlobalDEV Pvalue
Generation,,,,,,,,,
24,0.024755689120321025,0.12473149172111347,0.06336327762609788,0.1047703561719928,0.003604976614805326,1.0634629887677539e-185,0.11244763502833062,0.004463253229019503,4.649127076492939e-140
25,0.04513606026637787,0.10997761004805355,0.6921451578400769,0.1687000426485269,0.005920388371917864,1.3603587410546723e-178,0.19202712442219708,0.007025205496505997,1.6724797635061949e-164
26,0.04930768812042356,0.19897967962996257,0.6756471593363992,0.18008181939241236,0.005835284624843776,4.007043924935919e-209,0.1822838274856374,0.006987602671571676,5.15455041448261e-150
27,0.04896666445499028,0.14645420017155197,0.5269876974517608,0.18302478867292993,0.006124597116634623,3.218028621439932e-196,0.181810822083439,0.006897643959512272,4.112458053576402e-153
28,0.018445753105267387,0.1683015810758925,0.7252821990704076,0.08312883821286983,0.0033684424950657203,1.810321642732035e-134,0.10005908814425192,0.004067871296862589,1.3465016739649217e-133
29,0.033724362510871596,0.15940305195627624,0.9277818825387916,0.1293701345641005,0.004256053091480591,6.06600328407632e-203,0.16037621031206817,0.005845501252066188,1.0253583796435571e-165
30,0.03684919815048517,0.22310626322839072,0.6074403525076648,0.14395069029083002,0.00462705808736928,1.7298440146419397e-212,0.15626499807095945,0.006064894797772779,2.161511631462668e-146
31,0.027763395405964418,0.11653922286589061,0.5397261731965189,0.11568687714842178,0.004006287343236876,2.367496289575806e-183,0.12737422487218067,0.00503687763111013,4.2929885237226616e-141
32,0.02822031700134732,0.24906475077076637,0.7440262353325304,0.12010087940806594,0.00401829602818139,2.7753960305056667e-196,0.13801870908251013,0.0050082668316452075,3.531485542737026e-167
33,0.014699152798349414,0.10955860692119103,0.06992159748455881,0.07064708077846335,0.0031350680242918597,1.9072763906602985e-112,0.0760913423587082,0.0037165156067677473,3.684224641671792e-93
34,0.040496775430845934,0.1728736490301208,0.7907799248806412,0.15262133157601793,0.005017938791227707,3.464150863225798e-203,0.16755571885001455,0.0063984901569609275,3.760984809062228e-151
35,0.020470241417238074,0.10804251304275286,0.4142792957273297,0.09041148278520117,0.003468042286040221,8.005503059349985e-150,0.1040165662216052,0.004142150807921156,3.703097154895246e-139
36,0.0387214847302101,0.18447889383757665,0.055010519542747396,0.15189756424727355,0.004867419223223185,8.561255795993449e-214,0.15097397221927875,0.006159136461432136,1.0949274834210618e-132
37,0.02707449186292099,0.14379204510841176,0.9866418578996864,0.11299010287017316,0.003964306048398657,1.1108187585917561e-178,0.13297939086819255,0.0051656594047407665,3.864514192534627e-146
38,0.015708222844622935,0.1403680252846599,0.4877921657174795,0.06620933236416532,0.002941664756472014,3.509882975285239e-112,0.09120764833460947,0.0034045405722726873,4.225491931169126e-158
39,0.044267262688665196,0.10788084012518309,0.9512081660008457,0.1674662582506275,0.005593836017917719,6.372860376966319e-197,0.17562614795169235,0.006504018076019748,1.3732832889746946e-160
40,0.03733311906416213,0.19195842945144642,0.376183815156205,0.14640318164115929,0.004574719884545685,1.0015180284240411e-224,0.15740004882648315,0.005916541360300085,6.202142127372952e-156
41,0.025437089589693672,0.17738874236239593,0.973990947367164,0.10736881462382322,0.003657959843237956,2.2463127870940434e-189,0.12552012192881518,0.00466360245818394,1.472310452775399e-159
