Generation,localDEV Weight,Intervention Threshold,Probability(Intervention = Success),GlobalDEV Weight,GlobalDEV Stdev,GlobalDEV Pvalue
132,0.04732281996505252,0.153556410637051,0.32531228219222996,0.17812402802410907,0.004825749906937835,3.0600925696533244e-298
133,0.01583925967918202,0.1596702087131388,0.7569964662603134,0.07983100576380119,0.0024626037878148674,1.5650877127286994e-230
134,0.037050195401657444,0.20380994558735321,0.553180329986411,0.15092630524782671,0.003907010979807985,0.0
135,0.027865202548756955,0.20303908988006286,0.729729044637912,0.12294576261966285,0.0031882017605791408,0.0
136,0.04910673923943528,0.18565474037447938,0.46975407213157755,0.1797223206144387,0.004627286858574366,0.0
137,0.030745344710873992,0.12110485133923156,0.3474243017693339,0.12667479654136923,0.0032187342632699926,0.0
138,0.03637173345339,0.1289117947264058,0.3540448573762575,0.1452515774387093,0.0038168788306358883,0.0
139,0.0468522059475854,0.20042521010016662,0.29312892335452917,0.1746389617334812,0.004574855537745312,0.0
140,0.03454338701926914,0.16155987115246156,0.09627112627279028,0.13793986376014372,0.003588882543636912,0.0
141,0.018736404097429417,0.1663861233815575,0.022719535156349998,0.08858902737447369,0.0026343232629894163,6.374240489775612e-248
142,0.015496867200426685,0.18008488518234417,0.09254750761247484,0.07780602689126548,0.002417250808754115,2.6134974862462227e-227
143,0.04700906543794774,0.23089346189219614,0.7350365259817063,0.18010185667561096,0.004777388053084333,0.0
144,0.03786461184596613,0.12497436405848547,0.9657609422649195,0.15120117942243538,0.003632608856297535,0.0
145,0.04797566844674345,0.12392620127799955,0.7095373669593843,0.17873063966181513,0.004714634676612109,0.0
146,0.02610422174613982,0.1272850947222531,0.846952343303939,0.11865575103467312,0.0030652302103616556,0.0
147,0.026904965698460293,0.13792875986386866,0.8371654730295528,0.12602066662967562,0.0032376397317614427,0.0
148,0.04635459810235665,0.1882108195277105,0.8962546472787432,0.18130077162678038,0.004777059697279982,0.0
149,0.023912687623043476,0.20647135957820525,0.5029991718218282,0.10902715862491036,0.0027838949641954625,0.0
150,0.013154254622172202,0.21129267603210217,0.9007005009693169,0.06944302213309245,0.002225589531265894,9.984338137299714e-214
151,0.041039903673027275,0.10185658726528199,0.39584032741933783,0.16480476239199254,0.0041006104174330605,0.0
152,0.019015781731691234,0.16576141961225999,0.6342248190667062,0.09049987655042109,0.0026058821856410415,2.868992543054772e-264
153,0.01716343162749699,0.2148335586858957,0.15425458261822736,0.08108067152552034,0.0025263384558384065,5.321424927558387e-226
154,0.04109821328793502,0.10941035069605044,0.7346335333455747,0.1637222149661711,0.00427137554910708,0.0
155,0.010417076218135313,0.14274413666348573,0.595565362031601,0.0550319083379862,0.0020922176994500976,1.7651931971960957e-152
156,0.02353973686374449,0.1457461128766797,0.746476143096561,0.11174457004367738,0.002925449049294659,0.0
157,0.017826894341023865,0.24964256802535117,0.5729578424702867,0.08761667879032624,0.0025291594242676948,5.772029586982247e-263
158,0.03252341894474137,0.11514206708410865,0.8804897913972605,0.13948726822921564,0.0034368732353708027,0.0
