boardid,year
27418.0,2010
7905.0,2010
5455.0,2010
27255.0,2010
616.0,2010
13213.0,2010
29065.0,2010
12844.0,2010
15783.0,2010
1261534.0,2010
7147.0,2010
1806.0,2010
1806.0,2010
112.0,2010
391.0,2010
112.0,2010
550049.0,2010
19939.0,2010
33516.0,2010
11430.0,2010
33516.0,2010
28665.0,2010
30123.0,2010
11430.0,2010
6627.0,2010
6627.0,2010
6059.0,2010
31287.0,2010
324.0,2010
6375.0,2010
24493.0,2010
897123.0,2010
550958.0,2010
13324.0,2010
6783.0,2010
7847.0,2010
7915.0,2010
11410.0,2010
488479.0,2010
33046.0,2010
1041062.0,2010
32450.0,2010
6334.0,2010
6334.0,2010
665753.0,2010
21434.0,2010
32422.0,2010
33103.0,2010
12986.0,2010
428.0,2010
428.0,2010
5465.0,2010
23926.0,2010
26497.0,2010
26497.0,2010
2940.0,2010
17913.0,2010
33437.0,2010
31373.0,2010
33437.0,2010
50.0,2010
31373.0,2010
31373.0,2010
30867.0,2010
29405.0,2010
30004.0,2010
1606380.0,2010
12159.0,2010
12159.0,2010
18703.0,2010
500385.0,2010
647708.0,2010
9693.0,2010
26097.0,2010
30412.0,2010
19048.0,2010
1141059.0,2010
8383.0,2010
6647.0,2010
19369.0,2010
30955.0,2010
15484.0,2010
14399.0,2010
